transaction_id,timestamp,store_id,register_id,product,quantity,unit_price,discount,total,loyalty_card_id
TXN-001,2024-03-01T09:01:00.000000,S1,R1,Milk,2,1.5,0.0,3.0000000001,LC-1001
TXN-002,2024-03-01T09:15:00.000000,S1,R1,Bread,1,2.8,0.0,2.8,
TXN-003,2024-03-01T10:02:00.000000,S1,R2,Eggs,1,3.2,0.0,3.1999999999,LC-1003
TXN-004,2024-03-01T10:30:00.000000,S1,R2,Butter,3,1.9,0.1,5.6,LC-9999
TXN-005,2024-03-01T11:00:00.000000,S1,R1,Cheese,1,4.5,0.0,4.5,
TXN-006,2024-03-01T11:20:02.000000,S2,R4,Apples,4,1.5,0.2,5.8,LC-2001
TXN-007,2024-03-01T11:45:03.000000,S2,R4,Chicken,2,10.8,1.0,20.6,LC-2002
TXN-008,2024-03-01T12:10:02.000000,S2,R4,Rice,1,1.5,0.2,1.3,
TXN-009,2024-03-01T13:00:00.000000,S1,R1,Yogurt,2,1.2,0.0,2.4000000001,LC-1006
TXN-010,2024-03-01T13:30:00.000000,S1,R2,Juice,3,3.0,0.0,9.0,
TXN-013,2024-03-01T14:00:00.000000,S1,R1,Coffee,1,6.5,0.0,6.5,LC-1008
TXN-014,2024-03-01T14:15:00.000000,S1,R2,Bananas,5,1.2,0.0,6.0,
